restaurant,cuisine_type,location,price_level,rating,review_count,Latitude,Longitude
Restoran Tajuddin Hussain,"Indian,Asian,Malaysian","51 Lebuh Queen, George Town, Penang Island 10200 Malaysia",1,4,59,5.417272,100.3386489
Yue Ping Bean Sprout Chicken,"Chinese,Asian,Malaysian","66 & 68 Lebuh Kimberley, George Town, Penang Island 10100 Malaysia",1,4.5,28,5.416129,100.333292
Farquhar's Bar,"Bar,Pub,Vegetarian Friendly","Farquhar's Bar Farquhar's Bar Eastern and Oriental Hotel, Penang Island 11200 Malaysia",2,4,130,5.4233776,100.3348265
"Gravity, Rooftop Bar, G Kelawai, Penang","Bar,Pub","2 Persiaran Maktab G Hotel Kelawai, George Town, Penang Island 10250 Malaysia",2,4,81,5.4355512,100.3099313
Vintage Bulgaria Restaurant & Bar,,,2,4,112,,
Dragon-i,"Chinese,Asian,Cantonese","Persiaran Bayan Indah, Sungai Nibong, Penang Island Malaysia",2,4,52,5.3314513,100.3084303
Kek Seng Cafe,"Chinese,Asian,Malaysian","383 Jalan Penang Chinatown, George Town, Penang Island Malaysia",1,4,89,5.4181335,100.331525
218 Hainan Lor Mee,"Chinese,Asian,Street Food","218, Jalan Burma Opposite Wisma Perkeso, Penang, Penang Island 10350 Malaysia",1,4.5,24,5.429165,100.3141059
Garden Cafe,"Japanese,International,European","152B Jalan Batu Ferringhi Golden Sands Resort, Shamrock Beach, Penang Island 11100 Malaysia",2,4,137,5.4771435,100.2535501
Areca Cafe,"European,Asian,Fusion","No.27, Jalan Khoo Sian Ewe Areca Hotel, Penang Island 10500 Malaysia",2,4.5,26,5.4172176,100.329902
Sungai Pinang Food Court,"Asian,Malaysian","Jalan Sungai Pinang Jelutong Highway, Penang Island Malaysia",1,4,60,5.401779,100.3238703
Ee Beng Vegetarian Food,"Asian,Malaysian,Vegetarian Friendly","20 Lebuh Dickens Chinatown, George Town, Penang Island 10050 Malaysia",1,4,70,5.41907,100.3308118
Harvest In Cafe,"Cafe,Asian,Vegetarian Friendly","Harvest In Cafe 10 Jalan Irrawaddy, Penang Island 10050 Malaysia",2,4,68,5.4256083,100.3215153
Chin Chin Gastropub,"Bar,Contemporary,Pub","25G Lintang Burma Pulau Tikus, George Town, Penang Island 10250 Malaysia",2,4.5,43,5.432999,100.3114218
Kopitan at Armenian St Heritage Hotel,"Asian,Greek,Malaysian","139-1-01 Armeniam Street Lebuh Carnarvon, George Town, Penang Island 10200 Malaysia",2,4,79,5.4153795,100.3357634
The Little Nyonya Cuisine,"Asian,Nonya/Malaysian,Malaysian","170-B1-32B, Plaza Gurney Persiaran Gurney, Penang Island Malaysia",2,3.5,134,5.4380431,100.3100232
Restoran Sup Hameed,"Indian,Asian,Soups","48 Jln Penang Chinatown, George Town, Penang Island Malaysia",1,3.5,159,5.4220239,100.3337716
Nasi Kandar Deen,"Asian,Malaysian","Jalan Jelutong, George Town, Penang Island Malaysia",1,4,39,5.3963418,100.3182566
L Kitchen ,"Chinese,Asian,Vegetarian Friendly","170 - 172 Campbell Street, George Town, Penang Island 10100 Malaysia",1,4.5,39,5.4187414,100.3322648
